table_name,metric_scope,project_key,metric_name,metric_value,aggregation,source_table,sample_size,notes
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_opened_sum_q1,12.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_merged_sum_q1,10.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_active_avg_daily_q1,0.0556,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_median_lead_time_hours_q1,13.0893,median,src_205D_timeseries,6,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,FreedomIntelligence/OpenClaw-Medical-Skills,pr_avg_lead_time_hours_q1,9.8643,avg,src_205D_timeseries,6,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_opened_sum_q1,25.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_merged_sum_q1,21.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_active_avg_daily_q1,4.4111,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_median_lead_time_hours_q1,286.8611,median,src_205D_timeseries,3,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,JefferyHcool/BiliNote,pr_avg_lead_time_hours_q1,407.8391,avg,src_205D_timeseries,3,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,allenai/olmocr,pr_opened_sum_q1,15.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,allenai/olmocr,pr_merged_sum_q1,1.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,allenai/olmocr,pr_active_avg_daily_q1,16.3,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,allenai/olmocr,pr_median_lead_time_hours_q1,137.275,median,src_205D_timeseries,1,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,allenai/olmocr,pr_avg_lead_time_hours_q1,137.275,avg,src_205D_timeseries,1,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,hiddify/Hiddify-Manager,pr_opened_sum_q1,17.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,hiddify/Hiddify-Manager,pr_merged_sum_q1,8.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,hiddify/Hiddify-Manager,pr_active_avg_daily_q1,12.7667,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,hiddify/Hiddify-Manager,pr_median_lead_time_hours_q1,20.1107,median,src_205D_timeseries,4,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,hiddify/Hiddify-Manager,pr_avg_lead_time_hours_q1,619.7595,avg,src_205D_timeseries,4,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,khoj-ai/khoj,pr_opened_sum_q1,28.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,khoj-ai/khoj,pr_merged_sum_q1,13.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,khoj-ai/khoj,pr_active_avg_daily_q1,8.5222,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,khoj-ai/khoj,pr_median_lead_time_hours_q1,122.8469,median,src_205D_timeseries,7,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,khoj-ai/khoj,pr_avg_lead_time_hours_q1,1549.0599,avg,src_205D_timeseries,7,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,mpieniak01/Venom,pr_opened_sum_q1,202.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,mpieniak01/Venom,pr_merged_sum_q1,192.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,mpieniak01/Venom,pr_active_avg_daily_q1,0.1111,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,mpieniak01/Venom,pr_median_lead_time_hours_q1,0.9179,median,src_205D_timeseries,58,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,mpieniak01/Venom,pr_avg_lead_time_hours_q1,3.584,avg,src_205D_timeseries,58,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,neuropsychology/NeuroKit,pr_opened_sum_q1,22.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,neuropsychology/NeuroKit,pr_merged_sum_q1,24.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,neuropsychology/NeuroKit,pr_active_avg_daily_q1,7.7889,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,neuropsychology/NeuroKit,pr_median_lead_time_hours_q1,1405.8664,median,src_205D_timeseries,8,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,neuropsychology/NeuroKit,pr_avg_lead_time_hours_q1,1918.1613,avg,src_205D_timeseries,8,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,omkarcloud/botasaurus,pr_opened_sum_q1,1.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,omkarcloud/botasaurus,pr_merged_sum_q1,0.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,omkarcloud/botasaurus,pr_active_avg_daily_q1,3.2444,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,omkarcloud/botasaurus,pr_median_lead_time_hours_q1,0.0,median,src_205D_timeseries,0,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,omkarcloud/botasaurus,pr_avg_lead_time_hours_q1,0.0,avg,src_205D_timeseries,0,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,originalankur/maptoposter,pr_opened_sum_q1,115.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,originalankur/maptoposter,pr_merged_sum_q1,21.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,originalankur/maptoposter,pr_active_avg_daily_q1,16.4667,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,originalankur/maptoposter,pr_median_lead_time_hours_q1,18.477,median,src_205D_timeseries,8,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,originalankur/maptoposter,pr_avg_lead_time_hours_q1,83.3919,avg,src_205D_timeseries,8,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,virt-manager/virt-manager,pr_opened_sum_q1,24.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,virt-manager/virt-manager,pr_merged_sum_q1,19.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,virt-manager/virt-manager,pr_active_avg_daily_q1,12.3889,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,virt-manager/virt-manager,pr_median_lead_time_hours_q1,1.6437,median,src_205D_timeseries,12,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,virt-manager/virt-manager,pr_avg_lead_time_hours_q1,453.6284,avg,src_205D_timeseries,12,avg z dziennych avg lead time
summary_205D_project_pr_flow,project_q1,xlenore/ps2-covers,pr_opened_sum_q1,5.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,xlenore/ps2-covers,pr_merged_sum_q1,11.0,sum,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,xlenore/ps2-covers,pr_active_avg_daily_q1,1.6889,avg,src_205D_timeseries,90,
summary_205D_project_pr_flow,project_q1,xlenore/ps2-covers,pr_median_lead_time_hours_q1,489.6943,median,src_205D_timeseries,3,median z dziennych median lead time
summary_205D_project_pr_flow,project_q1,xlenore/ps2-covers,pr_avg_lead_time_hours_q1,550.0695,avg,src_205D_timeseries,3,avg z dziennych avg lead time
summary_205E_project_comments,project_q1,mpieniak01/Venom,closed_pr_sum_q1,202.0,sum,src_205E_daily,90,
summary_205E_project_comments,project_q1,mpieniak01/Venom,merged_pr_sum_q1,192.0,sum,src_205E_daily,90,
